curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2017,0,0,0,0,1,0,0,0,0,1,3075.0,5445995,3718,3247.0
2017,0,0,0,0,1,0,0,0,1,0,1072.0,5445995,3718,1073.0
2017,0,0,0,0,1,0,0,1,0,0,1083.0,5445995,3718,1103.0
2017,0,0,0,0,1,0,1,0,0,0,4380.0,5445995,3718,4076.0
2017,0,0,0,0,1,1,0,0,0,0,3870.0,5445995,3718,3914.0
2017,0,0,0,0,1,1,1,1,1,1,13480.0,5445995,3718,13413.0
2017,0,0,0,1,0,0,0,0,0,1,5276.0,10044826,3187,5342.0
2017,0,0,0,1,0,0,0,0,1,0,3053.0,10044826,3187,3165.0
2017,0,0,0,1,0,0,0,1,0,0,3144.0,10044826,3187,3238.0
2017,0,0,0,1,0,0,1,0,0,0,9083.0,10044826,3187,9153.0
2017,0,0,0,1,0,1,0,0,0,0,3925.0,10044826,3187,3976.0
2017,0,0,0,1,0,1,1,1,1,1,24481.0,10044826,3187,24874.0
2017,0,0,1,0,0,0,0,0,0,1,8644.0,10578381,2637,9357.0
2017,0,0,1,0,0,0,0,0,1,0,5893.0,10578381,2637,6293.0
2017,0,0,1,0,0,0,0,1,0,0,6253.0,10578381,2637,6381.0
2017,0,0,1,0,0,0,1,0,0,0,14037.0,10578381,2637,14484.0
2017,0,0,1,0,0,1,0,0,0,0,4951.0,10578381,2637,4847.0
2017,0,0,1,0,0,1,1,1,1,1,39778.0,10578381,2637,41362.0
2017,0,1,0,0,0,0,0,0,0,1,12827.0,10301511,2839,12817.0
2017,0,1,0,0,0,0,0,0,1,0,5957.0,10301511,2839,6154.0
2017,0,1,0,0,0,0,0,1,0,0,4971.0,10301511,2839,5033.0
2017,0,1,0,0,0,0,1,0,0,0,10781.0,10301511,2839,11286.0
2017,0,1,0,0,0,1,0,0,0,0,8825.0,10301511,2839,8733.0
2017,0,1,0,0,0,1,1,1,1,1,43361.0,10301511,2839,44023.0
2017,1,0,0,0,0,0,0,0,0,1,15989.0,7624295,1520,16196.0
2017,1,0,0,0,0,0,0,0,1,0,7861.0,7624295,1520,8125.0
2017,1,0,0,0,0,0,0,1,0,0,13360.0,7624295,1520,13349.0
2017,1,0,0,0,0,0,1,0,0,0,27650.0,7624295,1520,28467.0
2017,1,0,0,0,0,1,0,0,0,0,316.0,7624295,1520,299.0
2017,1,0,0,0,0,1,1,1,1,1,65176.0,7624295,1520,66436.0
2018,0,0,0,0,1,0,0,0,0,1,3247.0,5441390,3686,3151.0
2018,0,0,0,0,1,0,0,0,1,0,1073.0,5441390,3686,1079.0
2018,0,0,0,0,1,0,0,1,0,0,1103.0,5441390,3686,1167.0
2018,0,0,0,0,1,0,1,0,0,0,4076.0,5441390,3686,3897.0
2018,0,0,0,0,1,1,0,0,0,0,3914.0,5441390,3686,3741.0
2018,0,0,0,0,1,1,1,1,1,1,13413.0,5441390,3686,13035.0
2018,0,0,0,1,0,0,0,0,0,1,5342.0,10047963,3199,6095.0
2018,0,0,0,1,0,0,0,0,1,0,3165.0,10047963,3199,3133.0
2018,0,0,0,1,0,0,0,1,0,0,3238.0,10047963,3199,3341.0
2018,0,0,0,1,0,0,1,0,0,0,9153.0,10047963,3199,9082.0
